Código,Departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
,BIOQUÍMICA Y BIOLOGÍA MOLECULAR III ,"58,5",4,"1,8","7,2","65,7",1714,"11502,5"
,,115,18,,"32,4","147,4",3124,"22959,8"
305121,ECONOMÍA INTERNACIONAL Y DE ESPAÑA,,,,,,,
,ECONOMÍA INTERNACIONAL Y DE ESPAÑA ,213,"7,5",1,"7,5","220,5",4168,"25666,5"
,,213,"7,5",,"7,5","220,5",4168,"25666,5"
305122,FILOSOFÍA II,,,,,,,
,FILOSOFÍA ,208,14,1,14,222,1846,11076
,,208,14,,14,222,1846,11076
305123,FISICOQUIMICA,,,,,,,
,FÍSICO QUÍMICA ,79,23,"1,8","41,4","120,4",2512,21633
,,79,23,,"41,4","120,4",2512,21633
305124,INGENIERIA DE LA CONSTRUCCION Y PROYECTOS DE INGENIERIA,,,,,,,
,INGENIERÍA DE LA CONSTRUCCIÓN ,32,4,"1,6","6,4","38,4",831,"4824,6"
,PROYECTOS DE INGENIERÍA ,27,30,"1,6",48,75,1250,"14025,6"
,,59,34,,"54,4","113,4",2081,"18850,2"
305125,URBANISTICA Y ORDENACION DEL TERRITORIO,,,,,,,
,URBANÍSTICA Y ORDENACIÓN DEL TERRITORIO ,"89,5","9,5","1,6","15,2","104,7",2058,"12074,7"
,,"89,5","9,5",,"15,2","104,7",2058,"12074,7"
305126,METODOLOGIA DE LAS CIENCIAS DEL COMPORTAMIENTO,,,,,,,
,METODOLOGÍA DE LAS CIENCIAS DEL COMPORTAMIENTO ,48,9,"1,2","10,8","58,8",1874,12684
,,48,9,,"10,8","58,8",1874,12684
305127,HISTORIA Y CIENCIAS DE LA MÚSICA,,,,,,,
,HISTORIA Y CIENCIAS DE LA MÚSICA ,248,4,"1,4","5,6","253,6",2003,"12990,8"
,,248,4,,"5,6","253,6",2003,"12990,8"
305128,PSICOBIOLOGIA,,,,,,,
,PSICOBIOLOGÍA ,72,15,"1,4",21,93,2108,"14913,6"
,,72,15,,21,93,2108,"14913,6"
305129,PSIQUIATRIA,,,,,,,
,PSIQUIATRÍA ,56,5,2,10,66,1259,7494
,,56,5,,10,66,1259,7494
305130,"MEDICINA LEGAL, TOXICOLOGIA Y ANTROPOLOGIA FISICA",,,,,,,
,ANTROPOLOGÍA FÍSICA ,33,3,1,3,36,587,3522
,MEDICINA LEGAL Y FORENSE ,50,"10,5","1,6","16,8","66,8",1154,"8701,3"
,TOXICOLOGÍA ,35,15,"1,2",18,53,885,10408
,,118,"28,5",,"37,8","155,8",2626,"22631,3"
,Total: ,"33202,5","2274,5",,"3186,8","36389,3",475675,"3348094,9"
