Identificación,Colectivo asociado,Ámbito
VACANTE,Estudiantes,FACULTAD DE CIENCIAS DEL TRABAJO
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"HINOJOSA VICO, LAURA",Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
"NAVARRETE TORRES, NURIA",Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES
VACANTE,Estudiantes,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA
VACANTE,Estudiantes,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA
VACANTE,Estudiantes,FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN
"CALDERÓN RUIZ, ANTONIO FRANCISCO",Estudiantes,FACULTAD DE DERECHO
"GARRIDO MUÑOZ, PABLO",Estudiantes,FACULTAD DE DERECHO
"GIL AMORES, LUIS MIGUEL",Estudiantes,FACULTAD DE DERECHO
VACANTE,Estudiantes,FACULTAD DE DERECHO
"RUIZ MORATA, MARINA",Estudiantes,FACULTAD DE DERECHO
VACANTE,Estudiantes,"FACULTAD DE EDUCACIÓN, ECONOMÍA Y TECNOLOGÍA (CEUTA)"
"SOTO ROBLES, JOSÉ FRANCISCO",Estudiantes,FACULTAD DE EDUCACIÓN Y HUMANIDADES (MELILLA)
"RUIZ HERNÁNDEZ, MARÍA LORENA",Estudiantes,FACULTAD DE FARMACIA
VACANTE,Estudiantes,FACULTAD DE FARMACIA
VACANTE,Estudiantes,FACULTAD DE FARMACIA
VACANTE,Estudiantes,FACULTAD DE FARMACIA
"BARBA GONZÁLEZ, PEDRO",Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
VACANTE,Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
"GUYANLEMA ARÉVALO, BRYAN",Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
"MAURICIO LACASA MUÑOZ, ELENA",Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
"MORA PALOMARES, AGUSTÍN",Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
"TENEDOR TENEDOR, JAVIER",Estudiantes,FACULTAD DE FILOSOFÍA Y LETRAS
VACANTE,Estudiantes,FACULTAD DE MEDICINA
VACANTE,Estudiantes,FACULTAD DE MEDICINA
VACANTE,Estudiantes,FACULTAD DE ODONTOLOGÍA
VACANTE,Estudiantes,FACULTAD DE PSICOLOGÍA
VACANTE,Estudiantes,FACULTAD DE PSICOLOGÍA
VACANTE,Estudiantes,FACULTAD DE PSICOLOGÍA
VACANTE,Estudiantes,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
VACANTE,Estudiantes,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN
"LÓPEZ MARTÍN, FRANCISCO DE ASÍS",Estudiantes,FACULTAD DE CC. DE LA SALUD (CEUTA)
"BARRANCO MONTILLA, ANTONIO",Estudiantes,"CENTRO DE MAGISTERIO ""LA INMACULADA"""
VACANTE,Estudiantes,"CENTRO DE MAGISTERIO ""LA INMACULADA"""
"ALARCÓN GONZÁLEZ, FRANCISCO JAVIER",Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
VACANTE,Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
VACANTE,Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
"LÓPEZ AGUDO, FERNANDO JAVIER",Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
"MORA GONZÁLEZ, ADRIÁN",Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
"ORTÍZ PÉREZ, ALEJANDRO",Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
"SEGURA ROBLES, ADRIÁN",Estudiantes,ESTUDIANTES DE MÁSTER UNIVERSITARIO Y DOCTORADO
"ARTÉS RODRÍGUEZ, MARÍA",Personal de Administración y Servicios ,GRANADA
"BARROS JÓDAR, JUAN ANTONIO",Personal de Administración y Servicios ,GRANADA
"CASTRO MOLINA, JUAN DE DIOS",Personal de Administración y Servicios ,GRANADA
"CEREZO DÍAZ, JOSE ANTONIO",Personal de Administración y Servicios ,GRANADA
"CERVERA VALENCIA, PATRICIA A.",Personal de Administración y Servicios ,GRANADA
"GUERRA TSCHUSCHKE, ISABEL",Personal de Administración y Servicios ,GRANADA
"JARAMILLO MARTÍN, MIGUEL ÁNGEL",Personal de Administración y Servicios ,GRANADA
"LEDESMA GONZÁLEZ-FRÍAS, ESTHER",Personal de Administración y Servicios ,GRANADA
"LÓPEZ FERNÁNDEZ, JOSE ANTONIO",Personal de Administración y Servicios ,GRANADA
"LÓPEZ RUBIO, ANA MARÍA",Personal de Administración y Servicios ,GRANADA
"MACHADO SANTIAGO, FRANCISCO JAVIER",Personal de Administración y Servicios ,GRANADA
"MANJÓN-CABEZA CRUZ, ARACELI",Personal de Administración y Servicios ,GRANADA
"MARÍN RUIZ, ANTONIO",Personal de Administración y Servicios ,GRANADA
"MARTÍNEZ VÁZQUEZ, JOSÉ ANTONIO",Personal de Administración y Servicios ,GRANADA
"MARTOS GARCÍA, JOSÉ LUIS",Personal de Administración y Servicios ,GRANADA
"MOLERO MESA, EVARISTO",Personal de Administración y Servicios ,GRANADA
"MORÁN GUTIÉRREZ, DANIEL ALEJANDRO",Personal de Administración y Servicios ,GRANADA
"NIETO JIMÉNEZ, MARÍA DOLORES",Personal de Administración y Servicios ,GRANADA
"PÉREZ PÉREZ, ANTONIA",Personal de Administración y Servicios ,GRANADA
"RODRÍGUEZ COTELO, MARGARITA",Personal de Administración y Servicios ,GRANADA
"RODRÍGUEZ TORRALBA, NICETO",Personal de Administración y Servicios ,GRANADA
"RUBIO MERCADO, PEDRO",Personal de Administración y Servicios ,GRANADA
"RUÍZ MUÑOZ, ISABEL",Personal de Administración y Servicios ,GRANADA
"SÁNCHEZ CONTRERAS, JOSÉ ANTONIO",Personal de Administración y Servicios ,GRANADA
"TRINIDAD ALCÁZAR, GUILLERMINA",Personal de Administración y Servicios ,GRANADA
"VALDERRAMA FERNÁNDEZ, JUAN GABRIEL",Personal de Administración y Servicios ,GRANADA
"VERA SUANES, ALICIA",Personal de Administración y Servicios ,GRANADA
VACANTE,Personal de Administración y Servicios ,GRANADA
"BENTOLILA HACHUEL, FORTUNA VIOLETA",Personal de Administración y Servicios ,CEUTA
"LENFERDING MACAYO, MARÍA JOSÉ",Personal de Administración y Servicios ,MELILLA
